centre_code,centre_name,incidental_charges,frequency,amount
EB0006,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Registration Fee",Ad-hoc,214.00
EB0006,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Insurance(Optional)",Annually,3.21
EB0006,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,963.00
EB0006,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,1155.60
EB0007,"E-BRIDGE PRE-SCHOOL","Registration Fee",Ad-hoc,214.00
EB0007,"E-BRIDGE PRE-SCHOOL","Deposit",Ad-hoc,720.00
EB0007,"E-BRIDGE PRE-SCHOOL","Deposit",Ad-hoc,900.00
EB0007,"E-BRIDGE PRE-SCHOOL","Deposit",Ad-hoc,1080.00
EB0007,"E-BRIDGE PRE-SCHOOL","Deposit",Ad-hoc,1275.00
EB0007,"E-BRIDGE PRE-SCHOOL","Deposit",Ad-hoc,1593.75
EB0007,"E-BRIDGE PRE-SCHOOL","Deposit",Ad-hoc,1912.50
EB0007,"E-BRIDGE PRE-SCHOOL","Insurance(Optional)",Annually,3.21
EB0008,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,900.00
EB0008,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,720.00
EB0008,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,1080.00
EB0008,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,1275.00
EB0008,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Insurance(Optional)",Annually,3.21
EB0008,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,1593.75
EB0008,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,1912.50
EB0008,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Uniform",Ad-hoc,37.00
EB0008,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Registration Fee",Ad-hoc,107.00
EB0009,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1275.00
EB0009,"E-BRIDGE PRE-SCHOOL PTE LTD","INSURANCE (OPTIONAL)",Annually,3.21
EB0009,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1593.75
EB0009,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1080.00
EB0009,"E-BRIDGE PRE-SCHOOL PTE LTD","REGISTRATION FEE",Ad-hoc,107.00
EB0009,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,900.00
EB0009,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1912.50
EB0009,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,720.00
EB0010,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1912.50
EB0010,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1080.00
EB0010,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,900.00
EB0010,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1593.75
EB0010,"E-BRIDGE PRE-SCHOOL PTE LTD","REGISTRATION FEE",Ad-hoc,107.00
EB0010,"E-BRIDGE PRE-SCHOOL PTE LTD","INSURANCE (OPTIONAL)",Annually,3.21
EB0010,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,720.00
EB0010,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1275.00
EB0011,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,900.00
EB0011,"E-BRIDGE PRE-SCHOOL PTE LTD","INSURANCE (OPTIONAL)",Annually,3.21
EB0011,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,720.00
EB0011,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1593.75
EB0011,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1912.50
EB0011,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1080.00
EB0011,"E-BRIDGE PRE-SCHOOL PTE LTD","REGISTRATION FEE",Ad-hoc,107.00
EB0011,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1275.00
EB0012,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1912.50
EB0012,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,720.00
EB0012,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1593.75
EB0012,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1275.00
EB0012,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,900.00
EB0012,"E-BRIDGE PRE-SCHOOL PTE LTD","REGISTRATION FEE",Ad-hoc,107.00
EB0012,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1080.00
EB0012,"E-BRIDGE PRE-SCHOOL PTE LTD","INSURANCE (OPTIONAL)",Annually,3.21
EB0013,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,720.00
EB0013,"E-BRIDGE PRE-SCHOOL PTE LTD","REGISTRATION FEE",Ad-hoc,85.60
EB0013,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,900.00
EB0013,"E-BRIDGE PRE-SCHOOL PTE LTD","INSURANCE (OPTIONAL)",Annually,3.21
EB0013,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1275.00
EB0013,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1912.50
EB0013,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1080.00
EB0013,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1593.75
EB0014,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1593.75
EB0014,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1912.50
EB0014,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,900.00
EB0014,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1080.00
EB0014,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,720.00
EB0014,"E-BRIDGE PRE-SCHOOL PTE LTD","REGISTRATION FEE",Ad-hoc,107.00
EB0014,"E-BRIDGE PRE-SCHOOL PTE LTD","INSURANCE (OPTIONAL)",Annually,3.21
EB0014,"E-BRIDGE PRE-SCHOOL PTE LTD","DEPOSIT",Ad-hoc,1275.00
KC0003,"PCF SPARKLETOTS KCARE CENTRE @ FRONTIER","Insurance(Optional)",Annually,3.00
KC0003,"PCF SPARKLETOTS KCARE CENTRE @ FRONTIER","Registration Fee",Ad-hoc,53.50
KC0004,"PCF SPARKLETOTS KCARE CENTRE @ PUNGGOL GREEN","Insurance(Optional)",Annually,3.00
KC0004,"PCF SPARKLETOTS KCARE CENTRE @ PUNGGOL GREEN","Registration Fee",Ad-hoc,53.50
KC0005,"PCF SPARKLETOTS KCARE CENTRE @ WEST SPRING","Insurance(Optional)",Annually,3.00
KC0005,"PCF SPARKLETOTS KCARE CENTRE @ WEST SPRING","Registration Fee",Ad-hoc,53.50
KC0006,"PCF SPARKLETOTS KCARE CENTRE @ NEE SOON EAST BLK 318A","Registration Fee",Ad-hoc,53.50
KC0006,"PCF SPARKLETOTS KCARE CENTRE @ NEE SOON EAST BLK 318A","Insurance(Optional)",Annually,3.00
KC0007,"PCF SPARKLETOTS KCARE CENTRE @ SENGKANG GREEN","Insurance(Optional)",Annually,3.00
KC0007,"PCF SPARKLETOTS KCARE CENTRE @ SENGKANG GREEN","Registration Fee",Ad-hoc,53.50
KC0008,"PCF SPARKLETOTS KCARE CENTRE @ NORTHOAKS","Registration Fee",Ad-hoc,53.50
KC0008,"PCF SPARKLETOTS KCARE CENTRE @ NORTHOAKS","Insurance(Optional)",Annually,3.00
KC0009,"PCF SPARKLETOTS KCARE CENTRE@SPRINGDALE","Registration Fee",Ad-hoc,53.50
KC0009,"PCF SPARKLETOTS KCARE CENTRE@SPRINGDALE","Insurance(Optional)",Annually,3.00
KC0010,"PCF SPARKLETOTS KCARE CENTRE @ WESTWOOD","Insurance(Optional)",Annually,3.00
KC0010,"PCF SPARKLETOTS KCARE CENTRE @ WESTWOOD","Registration Fee",Ad-hoc,53.50
KC0011,"PCF SPARKLETOTS KCARE CENTRE@RIVERSIDE","Registration Fee",Ad-hoc,53.50
KC0011,"PCF SPARKLETOTS KCARE CENTRE@RIVERSIDE","Insurance(Optional)",Annually,3.00
KC0012,"PCF SPARKLETOTS KCARE CENTRE@BLANGAH RISE","Registration Fee",Ad-hoc,53.50
KC0012,"PCF SPARKLETOTS KCARE CENTRE@BLANGAH RISE","Insurance(Optional)",Annually,3.00
KC0013,"PCF SPARKLETOTS KCARE CENTRE@PUNGGOL VIEW","Insurance(Optional)",Annually,3.00
KC0013,"PCF SPARKLETOTS KCARE CENTRE@PUNGGOL VIEW","Registration Fee",Ad-hoc,53.50
KC0014,"PCF SPARKLETOTS KCARE CENTRE@SENGKANG WEST BLK 470A","Registration Fee",Ad-hoc,53.50
KC0014,"PCF SPARKLETOTS KCARE CENTRE@SENGKANG WEST BLK 470A","Insurance(Optional)",Annually,3.00
NC0001,"MY FIRST SKOOL","Uniform",Ad-hoc,26.75
NC0001,"MY FIRST SKOOL","PVC Mattress Cover(Optional)",Ad-hoc,8.56
NC0001,"MY FIRST SKOOL","Insurance(Optional)",Annually,5.35
NC0001,"MY FIRST SKOOL","Registration Fee",Ad-hoc,85.60
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,1270.00
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,783.00
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,691.65
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,529.20
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,430.92
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,1568.75
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,941.25
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,831.43
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,866.25
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,606.37
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,493.76
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,1882.50
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,1129.50
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,997.72
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,1039.50
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,727.65
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,592.51
NC0001,"MY FIRST SKOOL","Deposit",Ad-hoc,720.00
NC0002,"MY FIRST SKOOL","PVC Mattress Cover(Optional)",Ad-hoc,8.56
NC0002,"MY FIRST SKOOL","Insurance(Optional)",Annually,5.35
NC0002,"MY FIRST SKOOL","Registration Fee",Ad-hoc,85.60
NC0002,"MY FIRST SKOOL","Uniform",Ad-hoc,26.75
NC0002,"MY FIRST SKOOL","Deposit",Ad-hoc,720.00
NC0002,"MY FIRST SKOOL","Deposit",Ad-hoc,529.20
NC0002,"MY FIRST SKOOL","Deposit",Ad-hoc,430.92
NC0002,"MY FIRST SKOOL","Deposit",Ad-hoc,52.92
NC0002,"MY FIRST SKOOL","Deposit",Ad-hoc,866.25
NC0002,"MY FIRST SKOOL","Deposit",Ad-hoc,606.37
NC0002,"MY FIRST SKOOL","Deposit",Ad-hoc,493.76
NC0002,"MY FIRST SKOOL","Deposit",Ad-hoc,60.63
NC0002,"MY FIRST SKOOL","Deposit",Ad-hoc,1039.50
NC0002,"MY FIRST SKOOL","Deposit",Ad-hoc,727.65
NC0002,"MY FIRST SKOOL","Deposit",Ad-hoc,592.51
NC0002,"MY FIRST SKOOL","Deposit",Ad-hoc,72.76
NT0010,"MY FIRST SKOOL","Insurance",Annually,5.35
NT0010,"MY FIRST SKOOL","Uniform",Ad-hoc,26.75
NT0010,"MY FIRST SKOOL","Mattress Cover",Ad-hoc,8.56
NT0010,"MY FIRST SKOOL","Registration Fee",Ad-hoc,85.60
NT0010,"MY FIRST SKOOL","Deposit",Ad-hoc,691.65
NT0010,"MY FIRST SKOOL","Deposit",Ad-hoc,720.00
NT0010,"MY FIRST SKOOL","Deposit",Ad-hoc,529.20
NT0010,"MY FIRST SKOOL","Deposit",Ad-hoc,430.92
NT0010,"MY FIRST SKOOL","Deposit",Ad-hoc,52.92
NT0010,"MY FIRST SKOOL","Deposit",Ad-hoc,665.62
NT0010,"MY FIRST SKOOL","Deposit",Ad-hoc,866.25
NT0010,"MY FIRST SKOOL","Deposit",Ad-hoc,606.37
NT0010,"MY FIRST SKOOL","Deposit",Ad-hoc,493.76
NT0010,"MY FIRST SKOOL","Deposit",Ad-hoc,60.63
NT0010,"MY FIRST SKOOL","Deposit",Ad-hoc,832.02
NT0010,"MY FIRST SKOOL","Deposit",Ad-hoc,1039.50
NT0010,"MY FIRST SKOOL","Deposit",Ad-hoc,727.65
NT0010,"MY FIRST SKOOL","Deposit",Ad-hoc,592.51
NT0010,"MY FIRST SKOOL","Deposit",Ad-hoc,72.76
NT0010,"MY FIRST SKOOL","Deposit",Ad-hoc,998.43
NT0020,"MY FIRST SKOOL","Insurance(Optional)",Annually,5.35
NT0020,"MY FIRST SKOOL","Uniform",Ad-hoc,26.75
NT0020,"MY FIRST SKOOL","PVC Mattress Cover(Optional)",Ad-hoc,8.56
NT0020,"MY FIRST SKOOL","Registration Fee",Ad-hoc,85.60
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,1268.00
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,783.00
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,691.65
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,104.40
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,720.00
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,665.62
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,529.20
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,430.92
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,52.92
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,1568.75
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,941.25
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,831.43
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,125.50
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,866.25
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,832.02
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,606.37
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,493.76
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,60.63
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,1882.50
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,1129.50
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,997.72
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,150.60
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,1039.50
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,998.43
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,727.65
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,592.51
NT0020,"MY FIRST SKOOL","Deposit",Ad-hoc,72.76
NT0030,"MY FIRST SKOOL","Insurance(Optional)",Annually,5.35
NT0030,"MY FIRST SKOOL","Uniform",Ad-hoc,26.75
NT0030,"MY FIRST SKOOL","PVC Mattress Cover(Optional)",Ad-hoc,8.56
NT0030,"MY FIRST SKOOL","Registration Fee",Ad-hoc,85.60
NT0030,"MY FIRST SKOOL","Deposit",Ad-hoc,720.00
NT0030,"MY FIRST SKOOL","Deposit",Ad-hoc,665.62
NT0030,"MY FIRST SKOOL","Deposit",Ad-hoc,529.20
NT0030,"MY FIRST SKOOL","Deposit",Ad-hoc,430.92
NT0030,"MY FIRST SKOOL","Deposit",Ad-hoc,886.25
NT0030,"MY FIRST SKOOL","Deposit",Ad-hoc,832.02
NT0030,"MY FIRST SKOOL","Deposit",Ad-hoc,606.37
NT0030,"MY FIRST SKOOL","Deposit",Ad-hoc,493.76
NT0030,"MY FIRST SKOOL","Deposit",Ad-hoc,1039.50
NT0030,"MY FIRST SKOOL","Deposit",Ad-hoc,998.43
NT0030,"MY FIRST SKOOL","Deposit",Ad-hoc,727.65
NT0030,"MY FIRST SKOOL","Deposit",Ad-hoc,592.51
NT0060,"MY FIRST SKOOL","Insurance",Annually,5.35
NT0060,"MY FIRST SKOOL","PVC Mattress Cover(Optional)",Ad-hoc,8.56
NT0060,"MY FIRST SKOOL","Uniform",Ad-hoc,26.75
NT0060,"MY FIRST SKOOL","Registration Fee",Ad-hoc,85.60
NT0060,"MY FIRST SKOOL","Deposit",Ad-hoc,720.00
NT0060,"MY FIRST SKOOL","Deposit",Ad-hoc,529.20
NT0060,"MY FIRST SKOOL","Deposit",Ad-hoc,430.92
NT0060,"MY FIRST SKOOL","Deposit",Ad-hoc,52.92
NT0060,"MY FIRST SKOOL","Deposit",Ad-hoc,665.62
NT0060,"MY FIRST SKOOL","Deposit",Ad-hoc,866.25
NT0060,"MY FIRST SKOOL","Deposit",Ad-hoc,606.37
NT0060,"MY FIRST SKOOL","Deposit",Ad-hoc,493.67
NT0060,"MY FIRST SKOOL","Deposit",Ad-hoc,60.63
NT0060,"MY FIRST SKOOL","Deposit",Ad-hoc,832.02
NT0060,"MY FIRST SKOOL","Deposit",Ad-hoc,1039.50
NT0060,"MY FIRST SKOOL","Deposit",Ad-hoc,727.65
NT0060,"MY FIRST SKOOL","Deposit",Ad-hoc,592.51
NT0060,"MY FIRST SKOOL","Deposit",Ad-hoc,72.76
NT0060,"MY FIRST SKOOL","Deposit",Ad-hoc,998.43
NT0070,"MY FIRST SKOOL","Deposit",Ad-hoc,694.50
NT0070,"MY FIRST SKOOL","Deposit",Ad-hoc,633.93
NT0070,"MY FIRST SKOOL","Deposit",Ad-hoc,529.20
NT0070,"MY FIRST SKOOL","Deposit",Ad-hoc,430.92
NT0070,"MY FIRST SKOOL","Deposit",Ad-hoc,866.25
NT0070,"MY FIRST SKOOL","Deposit",Ad-hoc,792.41
NT0070,"MY FIRST SKOOL","Deposit",Ad-hoc,606.37
NT0070,"MY FIRST SKOOL","Deposit",Ad-hoc,493.76
NT0070,"MY FIRST SKOOL","Deposit",Ad-hoc,1039.50
NT0070,"MY FIRST SKOOL","Deposit",Ad-hoc,727.65
NT0070,"MY FIRST SKOOL","Deposit",Ad-hoc,592.51
NT0070,"MY FIRST SKOOL","Deposit",Ad-hoc,950.89
NT0070,"MY FIRST SKOOL","Insurance(Optional)",Annually,5.35
NT0070,"MY FIRST SKOOL","PVC Mattress Cover(Optional)",Ad-hoc,17.12
NT0070,"MY FIRST SKOOL","Registration Fee",Ad-hoc,85.60
NT0070,"MY FIRST SKOOL","Uniform",Ad-hoc,160.50
NT0090,"MY FIRST SKOOL","Insurance(Optional)",Annually,5.35
NT0090,"MY FIRST SKOOL","Registration Fee",Ad-hoc,85.60
NT0090,"MY FIRST SKOOL","PVC Mattress Cover(Optional)",Ad-hoc,8.56
NT0090,"MY FIRST SKOOL","Uniform",Ad-hoc,26.75
NT0090,"MY FIRST SKOOL","Deposit",Ad-hoc,720.00
NT0090,"MY FIRST SKOOL","Deposit",Ad-hoc,665.62
NT0090,"MY FIRST SKOOL","Deposit",Ad-hoc,866.25
NT0090,"MY FIRST SKOOL","Deposit",Ad-hoc,832.02
NT0090,"MY FIRST SKOOL","Deposit",Ad-hoc,1039.50
NT0090,"MY FIRST SKOOL","Deposit",Ad-hoc,998.43
NT0090,"MY FIRST SKOOL","Deposit",Ad-hoc,529.20
NT0090,"MY FIRST SKOOL","Deposit",Ad-hoc,430.92
NT0090,"MY FIRST SKOOL","Deposit",Ad-hoc,606.37
NT0090,"MY FIRST SKOOL","Deposit",Ad-hoc,493.76
NT0090,"MY FIRST SKOOL","Deposit",Ad-hoc,727.65
NT0090,"MY FIRST SKOOL","Deposit",Ad-hoc,592.51
NT0110,"MY FIRST SKOOL","INSURANCE",Annually,5.35
NT0110,"MY FIRST SKOOL","Uniform",Ad-hoc,26.75
NT0110,"MY FIRST SKOOL","PVC Mattress Cover(Optional)",Ad-hoc,8.56
NT0110,"MY FIRST SKOOL","Registration Fee",Ad-hoc,85.60
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,1268.00
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,783.00
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,691.65
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,720.00
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,529.20
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,430.92
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,665.62
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,1568.75
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,941.25
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,831.43
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,866.25
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,606.37
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,493.76
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,832.02
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,1882.50
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,1129.50
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,997.72
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,1039.50
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,727.65
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,592.51
NT0110,"MY FIRST SKOOL","Deposit",Ad-hoc,998.43
NT0180,"MY FIRST SKOOL","Insurance fee",Annually,5.35
NT0180,"MY FIRST SKOOL","PVC Mattress Cover(Optional)",Ad-hoc,8.56
NT0180,"MY FIRST SKOOL","Uniform",Ad-hoc,26.75
NT0180,"MY FIRST SKOOL","Registration Fee",Ad-hoc,85.60
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,720.00
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,712.21
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,529.20
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,430.92
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,52.92
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,350.00
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,240.50
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,68.00
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,866.25
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,832.02
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,606.37
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,493.76
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,60.63
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,437.50
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,300.63
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,85.00
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,1039.50
NT0180,"MY FIRST SKOOL","Deposit",Ad-hoc,998.43
